,precision,recall,f1-score,support
Adiós\Adiós,0.8666666666666667,0.8666666666666667,0.8666666666666667,15.0
Buenas noches\Buenas noches,0.6666666666666666,1.0,0.8,2.0
Buenas tardes\Buenas tardes,1.0,0.5,0.6666666666666666,4.0
Buenos días\Buenos días,0.6,0.75,0.6666666666666666,4.0
Clase\Clase,1.0,0.3333333333333333,0.5,3.0
Comenzar\Comenzar,1.0,1.0,1.0,3.0
Compañero\Compañero,1.0,1.0,1.0,6.0
Cuaderno\Cuaderno,1.0,0.25,0.4,4.0
Cómo está\Cómo está,1.0,0.75,0.8571428571428571,4.0
Deberes\Deberes,1.0,0.3333333333333333,0.5,3.0
Disculpa\Disculpa,1.0,1.0,1.0,2.0
Entender\Entender,0.75,0.75,0.75,4.0
Escribir\Escribir,0.8571428571428571,1.0,0.9230769230769231,6.0
Escuchar\Escuchar,0.8333333333333334,1.0,0.9090909090909091,5.0
Estudiante\Estudiante,1.0,1.0,1.0,6.0
Examen\Examen,0.8,1.0,0.8888888888888888,4.0
Explicar\Explicar,1.0,1.0,1.0,3.0
Gracias\Gracias,0.8333333333333334,0.9375,0.8823529411764706,16.0
Hola\Hola,0.875,0.9333333333333333,0.9032258064516129,15.0
Lección\Lección,1.0,0.75,0.8571428571428571,4.0
Leer\Leer,1.0,1.0,1.0,6.0
Libro\Libro,0.6666666666666666,1.0,0.8,4.0
Lápiz\Lápiz,1.0,0.5,0.6666666666666666,4.0
Mucho gusto\Mucho gusto,0.8,1.0,0.8888888888888888,4.0
Pizarrón\Pizarrón,1.0,1.0,1.0,4.0
Por favor\Por favor,0.9333333333333333,1.0,0.9655172413793104,14.0
Pregunta\Pregunta,1.0,1.0,1.0,4.0
Profesor\Profesor,0.9230769230769231,0.9230769230769231,0.9230769230769231,13.0
Responder\Responder,0.6,0.75,0.6666666666666666,4.0
Terminar\Terminar,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
accuracy,0.8728323699421965,0.8728323699421965,0.8728323699421965,0.8728323699421965
macro avg,0.8890628815628817,0.8331303418803419,0.8316134745438547,173.0
weighted avg,0.8903729699972475,0.8728323699421965,0.8630179899060392,173.0
