,precision,recall,f1-score,support
Adiós\Adiós,1.0,0.8666666666666667,0.9285714285714286,15.0
Buenas noches\Buenas noches,1.0,1.0,1.0,2.0
Buenas tardes\Buenas tardes,1.0,0.75,0.8571428571428571,4.0
Buenos días\Buenos días,0.75,0.75,0.75,4.0
Clase\Clase,1.0,0.6666666666666666,0.8,3.0
Comenzar\Comenzar,1.0,1.0,1.0,3.0
Compañero\Compañero,1.0,1.0,1.0,6.0
Cuaderno\Cuaderno,1.0,1.0,1.0,4.0
Cómo está\Cómo está,0.75,0.75,0.75,4.0
Deberes\Deberes,1.0,0.3333333333333333,0.5,3.0
Disculpa\Disculpa,1.0,0.5,0.6666666666666666,2.0
Entender\Entender,0.5714285714285714,1.0,0.7272727272727273,4.0
Escribir\Escribir,0.8,0.6666666666666666,0.7272727272727273,6.0
Escuchar\Escuchar,0.8333333333333334,1.0,0.9090909090909091,5.0
Estudiante\Estudiante,1.0,1.0,1.0,6.0
Examen\Examen,0.6666666666666666,1.0,0.8,4.0
Explicar\Explicar,1.0,1.0,1.0,3.0
Gracias\Gracias,0.8421052631578947,1.0,0.9142857142857143,16.0
Hola\Hola,0.9333333333333333,0.9333333333333333,0.9333333333333333,15.0
Lección\Lección,1.0,0.75,0.8571428571428571,4.0
Leer\Leer,1.0,1.0,1.0,6.0
Libro\Libro,1.0,1.0,1.0,4.0
Lápiz\Lápiz,1.0,0.25,0.4,4.0
Mucho gusto\Mucho gusto,1.0,1.0,1.0,4.0
Pizarrón\Pizarrón,1.0,1.0,1.0,4.0
Por favor\Por favor,0.9333333333333333,1.0,0.9655172413793104,14.0
Pregunta\Pregunta,1.0,1.0,1.0,4.0
Profesor\Profesor,0.8125,1.0,0.896551724137931,13.0
Responder\Responder,0.75,0.75,0.75,4.0
Terminar\Terminar,1.0,0.6666666666666666,0.8,3.0
accuracy,0.8959537572254336,0.8959537572254336,0.8959537572254336,0.8959537572254336
macro avg,0.9214233500417711,0.8544444444444445,0.8644282728765488,173.0
weighted avg,0.9134213785909862,0.8959537572254336,0.8892382350225684,173.0
