,precision,recall,f1-score,support
Adiós\Adiós,0.8235294117647058,0.9333333333333333,0.875,15.0
Buenas noches\Buenas noches,1.0,1.0,1.0,2.0
Buenas tardes\Buenas tardes,0.6666666666666666,0.5,0.5714285714285714,4.0
Buenos días\Buenos días,0.5,0.25,0.3333333333333333,4.0
Clase\Clase,1.0,0.3333333333333333,0.5,3.0
Comenzar\Comenzar,1.0,1.0,1.0,3.0
Compañero\Compañero,1.0,1.0,1.0,6.0
Cuaderno\Cuaderno,1.0,0.75,0.8571428571428571,4.0
Cómo está\Cómo está,0.75,0.75,0.75,4.0
Deberes\Deberes,1.0,0.6666666666666666,0.8,3.0
Disculpa\Disculpa,1.0,1.0,1.0,2.0
Entender\Entender,0.75,0.75,0.75,4.0
Escribir\Escribir,0.8571428571428571,1.0,0.9230769230769231,6.0
Escuchar\Escuchar,0.7142857142857143,1.0,0.8333333333333334,5.0
Estudiante\Estudiante,1.0,1.0,1.0,6.0
Examen\Examen,0.8,1.0,0.8888888888888888,4.0
Explicar\Explicar,1.0,1.0,1.0,3.0
Gracias\Gracias,0.8823529411764706,0.9375,0.9090909090909091,16.0
Hola\Hola,0.9230769230769231,0.8,0.8571428571428571,15.0
Lección\Lección,1.0,0.75,0.8571428571428571,4.0
Leer\Leer,0.8571428571428571,1.0,0.9230769230769231,6.0
Libro\Libro,1.0,1.0,1.0,4.0
Lápiz\Lápiz,1.0,0.25,0.4,4.0
Mucho gusto\Mucho gusto,0.8,1.0,0.8888888888888888,4.0
Pizarrón\Pizarrón,1.0,1.0,1.0,4.0
Por favor\Por favor,0.9333333333333333,1.0,0.9655172413793104,14.0
Pregunta\Pregunta,1.0,1.0,1.0,4.0
Profesor\Profesor,0.8125,1.0,0.896551724137931,13.0
Responder\Responder,0.6,0.75,0.6666666666666666,4.0
Terminar\Terminar,0.5,0.3333333333333333,0.4,3.0
accuracy,0.8670520231213873,0.8670520231213873,0.8670520231213873,0.8670520231213873
macro avg,0.872334356819651,0.8251388888888888,0.828209399157675,173.0
weighted avg,0.8715012616874228,0.8670520231213873,0.8548992438916696,173.0
