,precision,recall,f1-score,support
Adiós\Adiós,0.19230769230769232,0.3333333333333333,0.24390243902439024,15.0
Buenas noches\Buenas noches,0.0,0.0,0.0,2.0
Buenas tardes\Buenas tardes,0.0,0.0,0.0,4.0
Buenos días\Buenos días,0.0,0.0,0.0,4.0
Clase\Clase,0.0,0.0,0.0,3.0
Comenzar\Comenzar,0.0,0.0,0.0,3.0
Compañero\Compañero,0.0,0.0,0.0,6.0
Cuaderno\Cuaderno,0.0,0.0,0.0,4.0
Cómo está\Cómo está,0.0,0.0,0.0,4.0
Deberes\Deberes,0.0,0.0,0.0,3.0
Disculpa\Disculpa,0.0,0.0,0.0,2.0
Entender\Entender,0.0,0.0,0.0,4.0
Escribir\Escribir,0.13043478260869565,0.5,0.20689655172413793,6.0
Escuchar\Escuchar,0.0,0.0,0.0,5.0
Estudiante\Estudiante,0.10526315789473684,0.3333333333333333,0.16,6.0
Examen\Examen,0.0,0.0,0.0,4.0
Explicar\Explicar,0.0,0.0,0.0,3.0
Gracias\Gracias,0.41935483870967744,0.8125,0.5531914893617021,16.0
Hola\Hola,0.5833333333333334,0.9333333333333333,0.717948717948718,15.0
Lección\Lección,0.0,0.0,0.0,4.0
Leer\Leer,0.0,0.0,0.0,6.0
Libro\Libro,0.0,0.0,0.0,4.0
Lápiz\Lápiz,0.0,0.0,0.0,4.0
Mucho gusto\Mucho gusto,0.0,0.0,0.0,4.0
Pizarrón\Pizarrón,0.0,0.0,0.0,4.0
Por favor\Por favor,0.8125,0.9285714285714286,0.8666666666666667,14.0
Pregunta\Pregunta,0.0,0.0,0.0,4.0
Profesor\Profesor,0.4444444444444444,0.6153846153846154,0.5161290322580645,13.0
Responder\Responder,0.0,0.0,0.0,4.0
Terminar\Terminar,0.0,0.0,0.0,3.0
accuracy,0.3352601156069364,0.3352601156069364,0.3352601156069364,0.3352601156069364
macro avg,0.089587941643286,0.14854853479853478,0.10882449656612266,173.0
weighted avg,0.21335987413161037,0.3352601156069364,0.256203591025531,173.0
