,precision,recall,f1-score,support
Adiós,1.0,1.0,1.0,16.0
Buenas noches,1.0,1.0,1.0,2.0
Buenas tardes,1.0,1.0,1.0,4.0
Buenos días,1.0,1.0,1.0,4.0
Clase,1.0,1.0,1.0,3.0
Comenzar,1.0,1.0,1.0,3.0
Compañero,1.0,1.0,1.0,6.0
Cuaderno,1.0,1.0,1.0,4.0
Cómo está,1.0,1.0,1.0,4.0
Deberes,1.0,1.0,1.0,3.0
Disculpa,1.0,0.5,0.6666666666666666,2.0
Entender,1.0,1.0,1.0,3.0
Escribir,0.75,1.0,0.8571428571428571,6.0
Escuchar,1.0,1.0,1.0,5.0
Estudiante,1.0,1.0,1.0,6.0
Examen,0.8,1.0,0.8888888888888888,4.0
Explicar,1.0,1.0,1.0,3.0
Gracias,0.8421052631578947,1.0,0.9142857142857143,16.0
Hola,1.0,0.9333333333333333,0.9655172413793104,15.0
Lección,1.0,0.5,0.6666666666666666,4.0
Leer,1.0,1.0,1.0,6.0
Libro,1.0,1.0,1.0,4.0
Lápiz,1.0,0.5,0.6666666666666666,4.0
Mucho gusto,1.0,0.5,0.6666666666666666,4.0
Pizarrón,1.0,1.0,1.0,4.0
Por favor,0.9333333333333333,1.0,0.9655172413793104,14.0
Pregunta,1.0,1.0,1.0,4.0
Profesor,0.8571428571428571,0.9230769230769231,0.8888888888888888,13.0
Responder,0.8,1.0,0.8888888888888888,4.0
Terminar,0.6666666666666666,0.5,0.5714285714285714,4.0
accuracy,0.9367816091954023,0.9367816091954023,0.9367816091954023,0.9367816091954023
macro avg,0.9549749373433585,0.911880341880342,0.92024083196497,174.0
weighted avg,0.9439647970500964,0.9367816091954023,0.9313628899835794,174.0
