,precision,recall,f1-score,support
Adiós,0.9375,0.9375,0.9375,16.0
Buenas noches,1.0,1.0,1.0,2.0
Buenas tardes,1.0,1.0,1.0,4.0
Buenos días,1.0,1.0,1.0,4.0
Clase,1.0,1.0,1.0,3.0
Comenzar,1.0,1.0,1.0,3.0
Compañero,1.0,1.0,1.0,6.0
Cuaderno,1.0,1.0,1.0,4.0
Cómo está,1.0,1.0,1.0,4.0
Deberes,1.0,1.0,1.0,3.0
Disculpa,1.0,0.5,0.6666666666666666,2.0
Entender,1.0,1.0,1.0,3.0
Escribir,0.75,1.0,0.8571428571428571,6.0
Escuchar,1.0,1.0,1.0,5.0
Estudiante,1.0,1.0,1.0,6.0
Examen,1.0,1.0,1.0,4.0
Explicar,1.0,1.0,1.0,3.0
Gracias,0.8888888888888888,1.0,0.9411764705882353,16.0
Hola,0.9333333333333333,0.9333333333333333,0.9333333333333333,15.0
Lección,1.0,0.5,0.6666666666666666,4.0
Leer,1.0,1.0,1.0,6.0
Libro,1.0,1.0,1.0,4.0
Lápiz,1.0,1.0,1.0,4.0
Mucho gusto,1.0,0.75,0.8571428571428571,4.0
Pizarrón,1.0,1.0,1.0,4.0
Por favor,1.0,1.0,1.0,14.0
Pregunta,1.0,1.0,1.0,4.0
Profesor,0.8666666666666667,1.0,0.9285714285714286,13.0
Responder,1.0,1.0,1.0,4.0
Terminar,1.0,0.5,0.6666666666666666,4.0
accuracy,0.9540229885057471,0.9540229885057471,0.9540229885057471,0.9540229885057471
macro avg,0.979212962962963,0.9373611111111111,0.9484955648926238,174.0
weighted avg,0.9597062579821202,0.9540229885057471,0.9503928007984802,174.0
