,precision,recall,f1-score,support
Adiós,1.0,1.0,1.0,16.0
Buenas noches,1.0,1.0,1.0,2.0
Buenas tardes,1.0,1.0,1.0,4.0
Buenos días,1.0,1.0,1.0,4.0
Clase,1.0,1.0,1.0,3.0
Comenzar,1.0,1.0,1.0,3.0
Compañero,1.0,1.0,1.0,6.0
Cuaderno,1.0,1.0,1.0,4.0
Cómo está,0.75,0.75,0.75,4.0
Deberes,1.0,1.0,1.0,3.0
Disculpa,0.0,0.0,0.0,2.0
Entender,1.0,1.0,1.0,3.0
Escribir,0.7142857142857143,0.8333333333333334,0.7692307692307693,6.0
Escuchar,1.0,1.0,1.0,5.0
Estudiante,1.0,1.0,1.0,6.0
Examen,0.8,1.0,0.8888888888888888,4.0
Explicar,1.0,1.0,1.0,3.0
Gracias,0.8888888888888888,1.0,0.9411764705882353,16.0
Hola,1.0,0.9333333333333333,0.9655172413793104,15.0
Lección,0.6666666666666666,0.5,0.5714285714285714,4.0
Leer,1.0,1.0,1.0,6.0
Libro,1.0,1.0,1.0,4.0
Lápiz,1.0,0.5,0.6666666666666666,4.0
Mucho gusto,0.8,1.0,0.8888888888888888,4.0
Pizarrón,1.0,1.0,1.0,4.0
Por favor,0.9333333333333333,1.0,0.9655172413793104,14.0
Pregunta,1.0,1.0,1.0,4.0
Profesor,0.7647058823529411,1.0,0.8666666666666667,13.0
Responder,1.0,0.75,0.8571428571428571,4.0
Terminar,1.0,0.25,0.4,4.0
accuracy,0.9252873563218391,0.9252873563218391,0.9252873563218391,0.9252873563218391
macro avg,0.9105960161842515,0.8838888888888888,0.8843708087420055,174.0
weighted avg,0.9228876224819429,0.9252873563218391,0.913982404043256,174.0
