,precision,recall,f1-score,support
0,1.0,0.9375,0.967741935483871,16.0
1,1.0,1.0,1.0,2.0
2,1.0,1.0,1.0,4.0
3,0.8,1.0,0.8888888888888888,4.0
4,1.0,1.0,1.0,3.0
5,1.0,1.0,1.0,3.0
6,1.0,1.0,1.0,6.0
7,0.75,0.75,0.75,4.0
8,0.75,0.75,0.75,4.0
9,1.0,0.6666666666666666,0.8,3.0
10,0.0,0.0,0.0,2.0
11,1.0,1.0,1.0,3.0
12,0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0
13,1.0,1.0,1.0,5.0
14,1.0,1.0,1.0,6.0
15,1.0,0.75,0.8571428571428571,4.0
16,1.0,1.0,1.0,3.0
17,0.8421052631578947,1.0,0.9142857142857143,16.0
18,0.9333333333333333,0.9333333333333333,0.9333333333333333,15.0
19,0.75,0.75,0.75,4.0
20,1.0,1.0,1.0,6.0
21,1.0,1.0,1.0,4.0
22,0.75,0.75,0.75,4.0
23,0.75,0.75,0.75,4.0
24,1.0,1.0,1.0,4.0
25,0.9333333333333333,1.0,0.9655172413793104,14.0
26,1.0,1.0,1.0,4.0
27,0.8125,1.0,0.896551724137931,13.0
28,1.0,1.0,1.0,4.0
29,1.0,0.25,0.4,4.0
accuracy,0.9137931034482759,0.9137931034482759,0.9137931034482759,0.9137931034482759
macro avg,0.8968201754385965,0.8706944444444444,0.8735598342661747,174.0
weighted avg,0.9097864992942125,0.9137931034482759,0.9038447308824357,174.0
