,precision,recall,f1-score,support
Adiós,0.0,0.0,0.0,16.0
Buenas noches,0.0,0.0,0.0,2.0
Buenas tardes,0.0,0.0,0.0,4.0
Buenos días,0.0,0.0,0.0,4.0
Clase,0.0,0.0,0.0,3.0
Comenzar,0.0,0.0,0.0,3.0
Compañero,0.0,0.0,0.0,6.0
Cuaderno,0.0,0.0,0.0,4.0
Cómo está,0.0,0.0,0.0,4.0
Deberes,0.0,0.0,0.0,3.0
Disculpa,0.0,0.0,0.0,2.0
Entender,0.0,0.0,0.0,3.0
Escribir,0.1,0.16666666666666666,0.125,6.0
Escuchar,0.0,0.0,0.0,5.0
Estudiante,0.0,0.0,0.0,6.0
Examen,0.13636363636363635,0.75,0.23076923076923078,4.0
Explicar,0.0,0.0,0.0,3.0
Gracias,0.13186813186813187,0.75,0.22429906542056074,16.0
Hola,0.42857142857142855,0.4,0.41379310344827586,15.0
Lección,0.0,0.0,0.0,4.0
Leer,0.0,0.0,0.0,6.0
Libro,0.0,0.0,0.0,4.0
Lápiz,0.0,0.0,0.0,4.0
Mucho gusto,0.0,0.0,0.0,4.0
Pizarrón,0.0,0.0,0.0,4.0
Por favor,0.0,0.0,0.0,14.0
Pregunta,0.04,0.25,0.06896551724137931,4.0
Profesor,0.0,0.0,0.0,13.0
Responder,0.0,0.0,0.0,4.0
Terminar,0.0,0.0,0.0,4.0
accuracy,0.13218390804597702,0.13218390804597702,0.13218390804597702,0.13218390804597702
macro avg,0.027893439893439894,0.07722222222222222,0.035427563895981555,174.0
weighted avg,0.05657423036733382,0.13218390804597702,0.06749781948560661,174.0
