,precision,recall,f1-score,support
Adiós,0.3,0.375,0.3333333333333333,16.0
Buenas noches,0.0,0.0,0.0,2.0
Buenas tardes,0.5,0.75,0.6,4.0
Buenos días,0.0,0.0,0.0,4.0
Clase,1.0,0.6666666666666666,0.8,3.0
Comenzar,0.0,0.0,0.0,3.0
Compañero,0.42857142857142855,1.0,0.6,6.0
Cuaderno,0.6,0.75,0.6666666666666666,4.0
Cómo está,0.0,0.0,0.0,4.0
Deberes,0.0,0.0,0.0,3.0
Disculpa,0.0,0.0,0.0,2.0
Entender,0.25,0.6666666666666666,0.36363636363636365,3.0
Escribir,0.0,0.0,0.0,6.0
Escuchar,0.2631578947368421,1.0,0.4166666666666667,5.0
Estudiante,0.7142857142857143,0.8333333333333334,0.7692307692307693,6.0
Examen,0.0,0.0,0.0,4.0
Explicar,0.0,0.0,0.0,3.0
Gracias,0.48484848484848486,1.0,0.6530612244897959,16.0
Hola,0.5833333333333334,0.9333333333333333,0.717948717948718,15.0
Lección,0.0,0.0,0.0,4.0
Leer,0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0
Libro,0.0,0.0,0.0,4.0
Lápiz,0.0,0.0,0.0,4.0
Mucho gusto,0.0,0.0,0.0,4.0
Pizarrón,0.0,0.0,0.0,4.0
Por favor,0.8235294117647058,1.0,0.9032258064516129,14.0
Pregunta,0.0,0.0,0.0,4.0
Profesor,0.5384615384615384,0.5384615384615384,0.5384615384615384,13.0
Responder,0.0,0.0,0.0,4.0
Terminar,0.0,0.0,0.0,4.0
accuracy,0.5057471264367817,0.5057471264367817,0.5057471264367817,0.5057471264367817
macro avg,0.243984037977846,0.3448931623931624,0.2731854806739599,174.0
weighted avg,0.35149379225924543,0.5057471264367817,0.402603440752972,174.0
