,precision,recall,f1-score,support
Adiós,0.26666666666666666,0.5,0.34782608695652173,16.0
Buenas noches,0.0,0.0,0.0,2.0
Buenas tardes,0.0,0.0,0.0,4.0
Buenos días,0.0,0.0,0.0,4.0
Clase,0.0,0.0,0.0,3.0
Comenzar,0.0,0.0,0.0,3.0
Compañero,0.0,0.0,0.0,6.0
Cuaderno,0.0,0.0,0.0,4.0
Cómo está,0.0,0.0,0.0,4.0
Deberes,0.0,0.0,0.0,3.0
Disculpa,0.0,0.0,0.0,2.0
Entender,0.0,0.0,0.0,3.0
Escribir,0.0,0.0,0.0,6.0
Escuchar,0.0,0.0,0.0,5.0
Estudiante,0.0,0.0,0.0,6.0
Examen,0.0,0.0,0.0,4.0
Explicar,0.0,0.0,0.0,3.0
Gracias,0.11510791366906475,1.0,0.2064516129032258,16.0
Hola,0.6,0.2,0.3,15.0
Lección,0.0,0.0,0.0,4.0
Leer,0.0,0.0,0.0,6.0
Libro,0.0,0.0,0.0,4.0
Lápiz,0.0,0.0,0.0,4.0
Mucho gusto,0.0,0.0,0.0,4.0
Pizarrón,0.0,0.0,0.0,4.0
Por favor,0.0,0.0,0.0,14.0
Pregunta,0.0,0.0,0.0,4.0
Profesor,0.0,0.0,0.0,13.0
Responder,0.0,0.0,0.0,4.0
Terminar,0.0,0.0,0.0,4.0
accuracy,0.15517241379310345,0.15517241379310345,0.15517241379310345,0.15517241379310345
macro avg,0.03272581934452438,0.056666666666666664,0.028475923328658247,174.0
weighted avg,0.08682984646765346,0.15517241379310345,0.07683013332043655,174.0
