,precision,recall,f1-score,support
Adiós,0.20833333333333334,0.3333333333333333,0.2564102564102564,15.0
Buenas noches,0.0,0.0,0.0,2.0
Buenas tardes,0.0,0.0,0.0,4.0
Buenos días,0.0,0.0,0.0,4.0
Clase,0.0,0.0,0.0,3.0
Comenzar,0.0,0.0,0.0,3.0
Compañero,0.09090909090909091,0.16666666666666666,0.11764705882352941,6.0
Cuaderno,0.0,0.0,0.0,4.0
Cómo está,0.0,0.0,0.0,4.0
Deberes,0.0,0.0,0.0,3.0
Disculpa,0.0,0.0,0.0,2.0
Entender,0.0,0.0,0.0,3.0
Escribir,0.0,0.0,0.0,6.0
Escuchar,0.0,0.0,0.0,5.0
Estudiante,0.0,0.0,0.0,6.0
Examen,0.0,0.0,0.0,4.0
Explicar,0.0,0.0,0.0,3.0
Gracias,0.19230769230769232,0.9375,0.3191489361702128,16.0
Hola,0.36,0.6,0.45,15.0
Lección,0.0,0.0,0.0,4.0
Leer,0.0,0.0,0.0,6.0
Libro,0.0,0.0,0.0,4.0
Lápiz,0.0,0.0,0.0,4.0
Mucho gusto,0.0,0.0,0.0,4.0
Pizarrón,0.0,0.0,0.0,4.0
Por favor,0.35294117647058826,0.42857142857142855,0.3870967741935484,14.0
Pregunta,0.0,0.0,0.0,4.0
Profesor,0.23529411764705882,0.3076923076923077,0.26666666666666666,13.0
Responder,0.0,0.0,0.0,4.0
Terminar,0.0,0.0,0.0,3.0
accuracy,0.23255813953488372,0.23255813953488372,0.23255813953488372,0.23255813953488372
macro avg,0.04799284702225879,0.0924587912087912,0.05989898974214046,172.0
weighted avg,0.11713591640917222,0.23255813953488372,0.14706070164648122,172.0
