,precision,recall,f1-score,support
Adiós,0.0,0.0,0.0,15.0
Buenas noches,0.0,0.0,0.0,2.0
Buenas tardes,0.0,0.0,0.0,4.0
Buenos días,0.0,0.0,0.0,4.0
Clase,0.0,0.0,0.0,3.0
Comenzar,0.0,0.0,0.0,3.0
Compañero,0.0,0.0,0.0,6.0
Cuaderno,0.0,0.0,0.0,4.0
Cómo está,0.0,0.0,0.0,4.0
Deberes,0.0,0.0,0.0,3.0
Disculpa,0.0,0.0,0.0,2.0
Entender,0.15,1.0,0.2608695652173913,3.0
Escribir,0.0,0.0,0.0,6.0
Escuchar,0.0,0.0,0.0,5.0
Estudiante,0.0,0.0,0.0,6.0
Examen,0.0,0.0,0.0,4.0
Explicar,0.0,0.0,0.0,3.0
Gracias,0.09900990099009901,0.625,0.17094017094017094,16.0
Hola,0.27450980392156865,0.9333333333333333,0.42424242424242425,15.0
Lección,0.0,0.0,0.0,4.0
Leer,0.0,0.0,0.0,6.0
Libro,0.0,0.0,0.0,4.0
Lápiz,0.0,0.0,0.0,4.0
Mucho gusto,0.0,0.0,0.0,4.0
Pizarrón,0.0,0.0,0.0,4.0
Por favor,0.0,0.0,0.0,14.0
Pregunta,0.0,0.0,0.0,4.0
Profesor,0.0,0.0,0.0,13.0
Responder,0.0,0.0,0.0,4.0
Terminar,0.0,0.0,0.0,3.0
accuracy,0.1569767441860465,0.1569767441860465,0.1569767441860465,0.1569767441860465
macro avg,0.017450656830388923,0.08527777777777779,0.02853507201333288,172.0
weighted avg,0.03576631089921578,0.1569767441860465,0.05744934764146089,172.0
