,precision,recall,f1-score,support
Adiós,0.75,0.5625,0.6428571428571429,16.0
Buenas noches,0.0,0.0,0.0,2.0
Buenas tardes,0.6,0.75,0.6666666666666666,4.0
Buenos días,0.5,0.5,0.5,4.0
Clase,0.6,1.0,0.75,3.0
Comenzar,1.0,0.6666666666666666,0.8,3.0
Compañero,1.0,1.0,1.0,6.0
Cuaderno,0.6,0.75,0.6666666666666666,4.0
Cómo está,0.5,0.75,0.6,4.0
Deberes,0.0,0.0,0.0,3.0
Disculpa,0.0,0.0,0.0,2.0
Entender,0.6,1.0,0.75,3.0
Escribir,1.0,1.0,1.0,6.0
Escuchar,0.8333333333333334,1.0,0.9090909090909091,5.0
Estudiante,1.0,1.0,1.0,6.0
Examen,1.0,0.75,0.8571428571428571,4.0
Explicar,1.0,1.0,1.0,3.0
Gracias,0.6842105263157895,0.8125,0.7428571428571429,16.0
Hola,0.7692307692307693,0.6666666666666666,0.7142857142857143,15.0
Lección,0.6666666666666666,0.5,0.5714285714285714,4.0
Leer,0.8571428571428571,1.0,0.9230769230769231,6.0
Libro,0.6666666666666666,0.5,0.5714285714285714,4.0
Lápiz,0.3333333333333333,0.5,0.4,4.0
Mucho gusto,0.6666666666666666,0.5,0.5714285714285714,4.0
Pizarrón,1.0,1.0,1.0,4.0
Por favor,0.8666666666666667,0.9285714285714286,0.896551724137931,14.0
Pregunta,1.0,1.0,1.0,4.0
Profesor,0.9230769230769231,0.9230769230769231,0.9230769230769231,13.0
Responder,0.6,0.75,0.6666666666666666,4.0
Terminar,0.6666666666666666,0.5,0.5714285714285714,4.0
accuracy,0.7586206896551724,0.7586206896551724,0.7586206896551724,0.7586206896551724
macro avg,0.6894553691922114,0.7103327228327228,0.6898217874079945,174.0
weighted avg,0.7513142936917891,0.7586206896551724,0.7470849602240804,174.0
