,precision,recall,f1-score,support
Adiós,1.0,0.6875,0.8148148148148148,16.0
Buenas noches,1.0,0.5,0.6666666666666666,2.0
Buenas tardes,0.6666666666666666,0.5,0.5714285714285714,4.0
Buenos días,0.5,0.5,0.5,4.0
Clase,0.6,1.0,0.75,3.0
Comenzar,1.0,0.3333333333333333,0.5,3.0
Compañero,1.0,1.0,1.0,6.0
Cuaderno,0.6666666666666666,1.0,0.8,4.0
Cómo está,0.5,0.5,0.5,4.0
Deberes,0.0,0.0,0.0,3.0
Disculpa,0.0,0.0,0.0,2.0
Entender,0.3,1.0,0.46153846153846156,3.0
Escribir,1.0,1.0,1.0,6.0
Escuchar,0.5,1.0,0.6666666666666666,5.0
Estudiante,1.0,0.8333333333333334,0.9090909090909091,6.0
Examen,1.0,0.75,0.8571428571428571,4.0
Explicar,1.0,1.0,1.0,3.0
Gracias,0.75,0.9375,0.8333333333333334,16.0
Hola,0.8666666666666667,0.8666666666666667,0.8666666666666667,15.0
Lección,1.0,0.5,0.6666666666666666,4.0
Leer,0.8571428571428571,1.0,0.9230769230769231,6.0
Libro,1.0,0.5,0.6666666666666666,4.0
Lápiz,0.0,0.0,0.0,4.0
Mucho gusto,0.75,0.75,0.75,4.0
Pizarrón,1.0,0.5,0.6666666666666666,4.0
Por favor,0.875,1.0,0.9333333333333333,14.0
Pregunta,0.75,0.75,0.75,4.0
Profesor,1.0,1.0,1.0,13.0
Responder,0.6,0.75,0.6666666666666666,4.0
Terminar,0.5,0.5,0.5,4.0
accuracy,0.7758620689655172,0.7758620689655172,0.7758620689655172,0.7758620689655172
macro avg,0.7227380952380952,0.6886111111111112,0.6740141956808625,174.0
weighted avg,0.7949781061850028,0.7758620689655172,0.7632889566797612,174.0
