,precision,recall,f1-score,support
Adiós,0.6666666666666666,0.625,0.6451612903225806,16.0
Buenas noches,0.0,0.0,0.0,2.0
Buenas tardes,0.5,0.25,0.3333333333333333,4.0
Buenos días,0.5,0.25,0.3333333333333333,4.0
Clase,1.0,1.0,1.0,3.0
Comenzar,1.0,0.6666666666666666,0.8,3.0
Compañero,1.0,1.0,1.0,6.0
Cuaderno,0.5,0.5,0.5,4.0
Cómo está,0.5,0.5,0.5,4.0
Deberes,0.5,0.3333333333333333,0.4,3.0
Disculpa,0.0,0.0,0.0,2.0
Entender,0.4,0.6666666666666666,0.5,3.0
Escribir,0.8571428571428571,1.0,0.9230769230769231,6.0
Escuchar,1.0,1.0,1.0,5.0
Estudiante,1.0,1.0,1.0,6.0
Examen,0.6,0.75,0.6666666666666666,4.0
Explicar,1.0,1.0,1.0,3.0
Gracias,0.8333333333333334,0.9375,0.8823529411764706,16.0
Hola,0.7222222222222222,0.8666666666666667,0.7878787878787878,15.0
Lección,1.0,0.5,0.6666666666666666,4.0
Leer,0.8571428571428571,1.0,0.9230769230769231,6.0
Libro,0.6666666666666666,0.5,0.5714285714285714,4.0
Lápiz,0.3333333333333333,0.25,0.2857142857142857,4.0
Mucho gusto,0.3333333333333333,0.5,0.4,4.0
Pizarrón,1.0,0.75,0.8571428571428571,4.0
Por favor,0.8125,0.9285714285714286,0.8666666666666667,14.0
Pregunta,0.8,1.0,0.8888888888888888,4.0
Profesor,0.8125,1.0,0.896551724137931,13.0
Responder,0.5,0.5,0.5,4.0
Terminar,1.0,0.5,0.6666666666666666,4.0
accuracy,0.7528735632183908,0.7528735632183908,0.7528735632183908,0.7528735632183908
macro avg,0.6898280423280424,0.6591468253968252,0.6598202175392519,174.0
weighted avg,0.7395970169677066,0.7528735632183908,0.735075881756214,174.0
