,precision,recall,f1-score,support
Adiós,0.0,0.0,0.0,15.0
Buenas noches,0.0,0.0,0.0,2.0
Buenas tardes,0.0,0.0,0.0,4.0
Buenos días,0.0,0.0,0.0,4.0
Clase,0.0,0.0,0.0,3.0
Comenzar,0.0,0.0,0.0,3.0
Compañero,0.0,0.0,0.0,6.0
Cuaderno,0.0,0.0,0.0,4.0
Cómo está,0.0,0.0,0.0,4.0
Deberes,0.0,0.0,0.0,3.0
Disculpa,0.0,0.0,0.0,2.0
Entender,0.0,0.0,0.0,3.0
Escribir,0.0,0.0,0.0,6.0
Escuchar,0.1111111111111111,0.2,0.14285714285714285,5.0
Estudiante,0.0,0.0,0.0,6.0
Examen,0.15,0.75,0.25,4.0
Explicar,0.0,0.0,0.0,3.0
Gracias,0.0,0.0,0.0,16.0
Hola,0.35,0.9333333333333333,0.509090909090909,15.0
Lección,0.0,0.0,0.0,4.0
Leer,0.03333333333333333,0.16666666666666666,0.05555555555555555,6.0
Libro,0.0,0.0,0.0,4.0
Lápiz,0.0,0.0,0.0,4.0
Mucho gusto,0.0,0.0,0.0,4.0
Pizarrón,0.0,0.0,0.0,4.0
Por favor,0.0,0.0,0.0,14.0
Pregunta,0.0,0.0,0.0,4.0
Profesor,0.5,0.15384615384615385,0.23529411764705882,13.0
Responder,0.0,0.0,0.0,4.0
Terminar,0.0,0.0,0.0,3.0
accuracy,0.12209302325581395,0.12209302325581395,0.12209302325581395,0.12209302325581395
macro avg,0.038148148148148146,0.07346153846153845,0.039759924171688873,172.0
weighted avg,0.07619509043927648,0.12209302325581395,0.07408608263601424,172.0
