,precision,recall,f1-score,support
0,0.0,0.0,0.0,16.0
1,0.0,0.0,0.0,2.0
2,0.0,0.0,0.0,4.0
3,0.0,0.0,0.0,4.0
4,0.0,0.0,0.0,3.0
5,0.0,0.0,0.0,3.0
6,0.0,0.0,0.0,6.0
7,0.0,0.0,0.0,4.0
8,0.0,0.0,0.0,4.0
9,0.0,0.0,0.0,3.0
10,0.0,0.0,0.0,2.0
11,0.0,0.0,0.0,3.0
12,0.0,0.0,0.0,6.0
13,0.0,0.0,0.0,5.0
14,0.0,0.0,0.0,6.0
15,0.0,0.0,0.0,4.0
16,0.0,0.0,0.0,3.0
17,0.0392156862745098,0.125,0.05970149253731343,16.0
18,0.14285714285714285,0.06666666666666667,0.09090909090909091,15.0
19,0.0,0.0,0.0,4.0
20,0.0,0.0,0.0,6.0
21,0.0,0.0,0.0,4.0
22,0.0,0.0,0.0,4.0
23,0.0,0.0,0.0,4.0
24,0.0,0.0,0.0,4.0
25,0.0,0.0,0.0,14.0
26,0.0,0.0,0.0,4.0
27,0.0,0.0,0.0,13.0
28,0.0,0.0,0.0,4.0
29,0.030303030303030304,0.75,0.05825242718446602,4.0
accuracy,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655
macro avg,0.007079195314489432,0.03138888888888889,0.006962100354362346,174.0
weighted avg,0.016617932439433453,0.034482758620689655,0.014665919269949671,174.0
