,precision,recall,f1-score,support
0,0.5238095238095238,0.6875,0.5945945945945946,16.0
1,0.0,0.0,0.0,2.0
2,0.375,0.75,0.5,4.0
3,0.0,0.0,0.0,4.0
4,1.0,0.6666666666666666,0.8,3.0
5,1.0,1.0,1.0,3.0
6,0.6666666666666666,1.0,0.8,6.0
7,0.6666666666666666,1.0,0.8,4.0
8,0.0,0.0,0.0,4.0
9,0.0,0.0,0.0,3.0
10,0.0,0.0,0.0,2.0
11,0.3333333333333333,1.0,0.5,3.0
12,0.5714285714285714,0.6666666666666666,0.6153846153846154,6.0
13,0.38461538461538464,1.0,0.5555555555555556,5.0
14,1.0,1.0,1.0,6.0
15,0.25,0.25,0.25,4.0
16,1.0,0.6666666666666666,0.8,3.0
17,0.6521739130434783,0.9375,0.7692307692307693,16.0
18,0.6666666666666666,0.6666666666666666,0.6666666666666666,15.0
19,1.0,0.75,0.8571428571428571,4.0
20,0.8571428571428571,1.0,0.9230769230769231,6.0
21,0.0,0.0,0.0,4.0
22,0.0,0.0,0.0,4.0
23,1.0,0.25,0.4,4.0
24,1.0,0.25,0.4,4.0
25,0.875,1.0,0.9333333333333333,14.0
26,1.0,0.25,0.4,4.0
27,0.5294117647058824,0.6923076923076923,0.6,13.0
28,0.0,0.0,0.0,4.0
29,0.0,0.0,0.0,4.0
accuracy,0.632183908045977,0.632183908045977,0.632183908045977,0.632183908045977
macro avg,0.5117305116026344,0.5161324786324786,0.4721661771661772,174.0
weighted avg,0.5724670120229693,0.632183908045977,0.5702585685344305,174.0
