,precision,recall,f1-score,support
0,0.22727272727272727,0.3125,0.2631578947368421,16.0
1,0.0,0.0,0.0,2.0
2,0.0,0.0,0.0,4.0
3,0.0,0.0,0.0,4.0
4,0.0,0.0,0.0,3.0
5,0.0,0.0,0.0,3.0
6,0.0,0.0,0.0,6.0
7,0.0,0.0,0.0,4.0
8,0.0,0.0,0.0,4.0
9,0.0,0.0,0.0,3.0
10,0.0,0.0,0.0,2.0
11,0.0,0.0,0.0,3.0
12,0.0,0.0,0.0,6.0
13,0.0,0.0,0.0,5.0
14,0.0,0.0,0.0,6.0
15,0.0,0.0,0.0,4.0
16,0.0,0.0,0.0,3.0
17,0.12213740458015267,1.0,0.21768707482993196,16.0
18,0.42857142857142855,0.6,0.5,15.0
19,0.0,0.0,0.0,4.0
20,0.0,0.0,0.0,6.0
21,0.0,0.0,0.0,4.0
22,0.0,0.0,0.0,4.0
23,0.0,0.0,0.0,4.0
24,0.0,0.0,0.0,4.0
25,0.0,0.0,0.0,14.0
26,0.0,0.0,0.0,4.0
27,0.0,0.0,0.0,13.0
28,0.0,0.0,0.0,4.0
29,0.0,0.0,0.0,4.0
accuracy,0.1724137931034483,0.1724137931034483,0.1724137931034483,0.1724137931034483
macro avg,0.025932718680810284,0.06375,0.03269483231889247,174.0
weighted avg,0.06907548010469831,0.1724137931034483,0.08731907766131256,174.0
