,precision,recall,f1-score,support
0,0.9285714285714286,0.8125,0.8666666666666667,16.0
1,1.0,0.5,0.6666666666666666,2.0
2,0.5,0.5,0.5,4.0
3,0.6666666666666666,0.5,0.5714285714285714,4.0
4,1.0,1.0,1.0,3.0
5,1.0,1.0,1.0,3.0
6,1.0,1.0,1.0,6.0
7,0.6,0.75,0.6666666666666666,4.0
8,0.5,0.75,0.6,4.0
9,0.0,0.0,0.0,3.0
10,0.0,0.0,0.0,2.0
11,0.4,0.6666666666666666,0.5,3.0
12,1.0,1.0,1.0,6.0
13,1.0,1.0,1.0,5.0
14,1.0,1.0,1.0,6.0
15,0.8,1.0,0.8888888888888888,4.0
16,1.0,1.0,1.0,3.0
17,0.8333333333333334,0.9375,0.8823529411764706,16.0
18,0.8235294117647058,0.9333333333333333,0.875,15.0
19,1.0,1.0,1.0,4.0
20,0.8571428571428571,1.0,0.9230769230769231,6.0
21,0.6666666666666666,0.5,0.5714285714285714,4.0
22,0.0,0.0,0.0,4.0
23,0.75,0.75,0.75,4.0
24,1.0,1.0,1.0,4.0
25,0.8125,0.9285714285714286,0.8666666666666667,14.0
26,1.0,1.0,1.0,4.0
27,0.9285714285714286,1.0,0.9629629629629629,13.0
28,1.0,0.75,0.8571428571428571,4.0
29,1.0,0.5,0.6666666666666666,4.0
accuracy,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
macro avg,0.7688993930905695,0.7592857142857142,0.753853834981286,174.0
weighted avg,0.8176208989342864,0.8333333333333334,0.8185163755058952,174.0
